Password No., Original Entropy, Bcrypt Entropy, Argon2 Entropy
1870, 3.3219, 5.2232, 5.4519
1871, 2.7255, 4.9899, 5.4695
1872, 3.4594, 5.1691, 5.3948
1873, 3.4183, 5.0314, 5.5314
1874, 3.2776, 5.4025, 5.3782
1875, 3.3219, 5.1522, 5.4104
1876, 2.4194, 5.0297, 5.5676
1877, 2.7500, 5.0566, 5.4617
1878, 3.4594, 5.1358, 5.4283
1879, 3.4183, 4.9981, 5.4466
1880, 2.9219, 5.0773, 5.5547
1881, 3.3219, 5.1691, 5.5135
1882, 3.1219, 5.1151, 5.5922
1883, 3.0000, 5.0566, 5.3664
1884, 3.0000, 5.1566, 5.6010
1885, 3.0000, 5.2106, 5.4567
1886, 3.1699, 5.0981, 5.3654
1887, 3.3219, 5.0899, 5.3978
1888, 3.1699, 4.9566, 5.3566
1889, 3.4183, 5.2484, 5.4929
1890, 2.7500, 5.1358, 5.5469
1891, 3.5850, 5.1106, 5.4617
1892, 3.2776, 5.1773, 5.4127
1893, 2.9477, 5.0566, 5.5135
1894, 3.4183, 5.1232, 5.4516
1895, 3.0000, 5.0440, 5.3252
1896, 3.5850, 4.9188, 5.2842
1897, 3.3219, 4.9440, 5.3677
1898, 2.7500, 5.1440, 5.4942
1899, 3.5850, 5.0691, 5.5587
1900, 3.3219, 5.0106, 5.5185
1901, 3.2776, 5.0981, 5.3586
1902, 3.1699, 5.0440, 5.3576
1903, 3.0000, 5.1232, 5.5055
1904, 3.4183, 4.9855, 5.4310
1905, 3.3219, 5.3610, 5.2528
1906, 3.0000, 5.1566, 5.3810
1907, 2.9477, 4.9631, 5.4607
1908, 3.4183, 5.1151, 5.4438
1909, 3.1699, 4.9188, 5.3677
1910, 3.5850, 5.0151, 5.6551
1911, 3.4594, 5.2232, 5.5676
1912, 3.0000, 5.2151, 5.3898
1913, 3.4594, 4.9981, 5.4167
1914, 3.0000, 5.0358, 5.5547
1915, 3.3219, 5.1566, 5.4823
1916, 3.4594, 5.1232, 5.5293
1917, 2.7255, 4.8549, 5.4722
1918, 3.0000, 5.0899, 5.4391
1919, 3.1699, 5.0314, 5.5341
1920, 3.1699, 5.0981, 5.3018
1921, 3.1219, 4.9981, 5.4283
1922, 3.0850, 5.3817, 5.4725
1923, 3.1699, 5.1566, 5.4255
1924, 3.1219, 5.0981, 5.5676
1925, 3.0000, 4.9899, 5.4411
1926, 3.4183, 5.1566, 5.5097
1927, 3.5850, 5.0855, 5.4901
1928, 3.3219, 5.0090, 5.3938
1929, 3.1219, 5.1566, 5.4104
1930, 3.5850, 5.1691, 5.4685
1931, 3.4594, 4.9691, 5.4323
1932, 3.3219, 4.9647, 5.4232
1933, 3.0000, 5.4025, 5.2875
1934, 3.1219, 5.0297, 5.3536
1935, 3.1219, 4.9358, 5.3420
1936, 3.4183, 5.2899, 5.5314
1937, 3.3219, 5.2484, 5.3921
1938, 3.5850, 5.0899, 5.4712
1939, 2.9477, 5.1522, 5.3948
1940, 3.5850, 4.9899, 5.4901
1941, 3.3219, 5.2358, 5.5882
1942, 3.1699, 5.0440, 5.4567
1943, 3.1699, 5.0691, 5.4401
1944, 2.9477, 4.9981, 5.5276
1945, 3.3219, 5.1943, 5.4567
1946, 3.5850, 5.0943, 5.5676
1947, 3.3219, 5.0773, 5.3664
1948, 3.0000, 4.9757, 5.4634
1949, 2.7500, 5.1314, 5.5226
1950, 3.4594, 5.1440, 5.3691
1951, 3.1219, 5.0297, 5.4607
1952, 3.0000, 5.0358, 5.6088
1953, 3.4594, 4.9297, 5.4489
1954, 3.1219, 4.9232, 5.3782
1955, 3.1699, 5.2358, 5.3357
1956, 3.3219, 5.1566, 5.4918
1957, 3.2776, 5.3232, 5.4735
1958, 3.5850, 4.9025, 5.3948
1959, 3.5850, 5.0817, 5.3988
1960, 3.4594, 5.0484, 5.4539
1961, 3.0272, 5.1899, 5.5019
1962, 2.9477, 5.1549, 5.5263
1963, 3.3219, 5.0647, 5.4645
1964, 3.1699, 5.1314, 5.5520
1965, 3.5850, 5.2817, 5.3968
1966, 3.1699, 5.1314, 5.4310
1967, 2.7500, 5.1566, 5.4722
1968, 3.1699, 5.0522, 5.4374
1969, 3.4594, 4.9631, 5.3458
1970, 3.1699, 4.8981, 5.4735
1971, 3.5850, 5.0522, 5.3999
1972, 3.1219, 5.0106, 5.3319
1973, 3.0000, 5.2817, 5.3292
1974, 2.9219, 4.9566, 5.5060
1975, 3.5850, 5.1106, 5.2674
1976, 3.3219, 5.1899, 5.5263
1977, 2.7255, 4.9875, 5.4411
1978, 3.1699, 5.0358, 5.3664
1979, 3.3219, 5.1106, 5.2920
1980, 2.7500, 5.0062, 5.2792
1981, 3.1699, 4.9647, 5.5587
1982, 3.3219, 5.0773, 5.4645
1983, 3.1699, 5.2025, 5.5510
1984, 3.1699, 5.1899, 5.5960
1985, 3.5850, 5.0423, 5.4361
1986, 3.3219, 4.9379, 5.3860
1987, 3.5850, 5.0232, 5.5392
1988, 3.5850, 5.1106, 5.3755
1989, 3.5850, 5.2484, 5.3999
1990, 2.9219, 4.9964, 5.5097
1991, 3.0000, 5.0981, 5.4813
1992, 3.4183, 5.0025, 5.4763
1993, 3.2776, 5.2025, 5.3443
1994, 3.0000, 5.3232, 5.5030
1995, 3.5850, 5.1358, 5.5185
1996, 3.1219, 5.0484, 5.5381
1997, 3.0000, 5.1106, 5.4245
1998, 3.3219, 5.0314, 5.5520
1999, 3.5850, 5.1647, 5.2981
2000, 2.7500, 5.1882, 5.5469
2001, 3.2776, 5.0297, 5.4979
2002, 3.4594, 5.0566, 5.6990
2003, 3.1699, 5.1025, 5.5341
2004, 2.9477, 4.9314, 5.5459
2005, 3.1699, 5.1440, 5.4645
2006, 3.4183, 5.0773, 5.3860
2007, 3.2516, 5.2440, 5.4075
2008, 3.1699, 5.1773, 5.4077
2009, 3.0000, 5.1691, 5.4929
2010, 3.4594, 5.1691, 5.4529
2011, 3.5850, 5.2025, 5.3627
2012, 3.3219, 5.2773, 5.4039
2013, 3.5850, 4.9855, 5.3883
2014, 3.4183, 5.1691, 5.5331
2015, 2.7500, 5.1899, 5.4607
2016, 3.4183, 5.2232, 5.4556
2017, 3.1699, 5.0981, 5.4668
2018, 3.5850, 5.1691, 5.5057
2019, 3.2776, 5.1232, 5.4323
2020, 2.9219, 5.1773, 5.4607
2021, 3.4594, 5.0647, 5.6138
2022, 3.0000, 5.2232, 5.3586
2023, 2.7500, 5.2106, 5.4539
2024, 3.1699, 5.0046, 5.3911
2025, 3.0000, 5.1773, 5.4942
2026, 3.0000, 5.0773, 5.5175
2027, 3.3219, 5.2151, 5.3387
2028, 3.0000, 5.1440, 5.1868
2029, 3.0000, 5.0522, 5.3843
2030, 3.4183, 5.0773, 5.4685
2031, 3.4594, 5.0882, 5.6294
2032, 3.1699, 5.0647, 5.3883
2033, 3.0000, 5.2610, 5.4607
2034, 3.0000, 5.1773, 5.4735
2035, 3.4594, 5.2440, 5.5520
2036, 2.9477, 4.8794, 5.3782
2037, 3.1887, 5.0106, 5.4283
2038, 3.2776, 5.0172, 5.3961
2039, 3.4183, 5.1899, 5.3691
2040, 3.2516, 5.1440, 5.4979
2041, 3.5850, 5.0188, 5.4333
2042, 3.1699, 4.9773, 5.4026
2043, 2.7500, 4.8899, 5.4474
2044, 3.2516, 5.0232, 5.5510
2045, 3.0000, 5.1297, 5.6362
2046, 3.2776, 5.2566, 5.3576
2047, 2.9477, 5.2025, 5.3755
2048, 3.4183, 4.9899, 5.4232
2049, 3.1699, 5.0899, 5.5047
2050, 3.5850, 5.0188, 5.4245
2051, 3.4183, 5.0817, 5.4056
2052, 3.1699, 5.2151, 5.4516
2053, 2.9477, 4.7920, 5.3654
2054, 3.2776, 4.9188, 5.4232
2055, 2.7500, 5.1899, 5.4773
2056, 2.9477, 4.9314, 5.5303
2057, 3.3219, 4.9358, 5.5520
2058, 3.1699, 5.1773, 5.4451
2059, 3.0000, 4.9614, 5.4428
2060, 3.5850, 5.1232, 5.4016
2061, 3.1699, 5.2440, 5.4361
2062, 3.4594, 5.1899, 5.4607
2063, 3.0000, 5.1817, 5.3586
2064, 3.4594, 5.0773, 5.5665
2065, 3.0000, 5.1314, 5.4310
2066, 3.5850, 5.0855, 5.4668
2067, 3.4594, 4.9729, 5.4127
2068, 3.4594, 5.0610, 5.5158
2069, 3.0000, 5.1232, 5.4607
2070, 3.0958, 5.2151, 5.5158
2071, 3.2776, 5.0899, 5.4979
2072, 3.1219, 5.1647, 5.4310
2073, 3.1699, 4.9647, 5.2579
2074, 3.1699, 5.2025, 5.5185
2075, 3.1699, 5.0838, 5.3755
2076, 3.0000, 5.1358, 5.6061
2077, 3.2776, 5.0025, 5.4675
2078, 3.1699, 5.0566, 5.3319
2079, 3.2516, 4.9314, 5.5185
2080, 3.0000, 5.1025, 5.4154
2081, 3.3219, 5.0899, 5.5135
2082, 3.2516, 4.9899, 5.3870
2083, 3.4183, 5.0899, 5.5030
2084, 3.3219, 5.0855, 5.4300
2085, 3.3219, 5.2358, 5.5882
2086, 2.9477, 5.1484, 5.4479
2087, 3.5850, 5.1773, 5.4255
2088, 3.1219, 5.0647, 5.4374
2089, 2.7500, 5.0172, 5.4361
2090, 2.9219, 5.0566, 5.5108
2091, 2.9477, 4.9981, 5.3978
2092, 3.4594, 5.0566, 5.4066
2093, 3.1699, 5.0899, 5.3928
2094, 3.5850, 5.1981, 5.5598
2095, 3.4183, 5.1691, 5.3840
2096, 3.1699, 4.8505, 5.4516
2097, 3.4594, 5.2358, 5.5030
2098, 3.4594, 5.0899, 5.4823
2099, 3.2776, 5.1358, 5.4313
2100, 3.2776, 4.9253, 5.4874
2101, 3.0000, 5.3151, 5.5381
2102, 3.5850, 4.9423, 5.4746
2103, 3.5850, 5.2484, 5.5615
2104, 3.1887, 5.0522, 5.5019
2105, 3.2776, 5.1358, 5.4195
2106, 3.4183, 4.9899, 5.4695
2107, 3.1219, 5.0817, 5.6422
2108, 3.4183, 5.1440, 5.4750
2109, 3.5850, 5.1232, 5.3488
2110, 3.0000, 4.9440, 5.5314
2111, 2.9477, 5.1358, 5.4634
2112, 2.7500, 5.3276, 5.3242
2113, 2.9219, 4.9964, 5.5097
2114, 2.9477, 5.1691, 5.4361
2115, 3.1219, 5.1647, 5.4411
2116, 2.7219, 5.3276, 5.5175
2117, 3.1699, 5.2484, 5.3732
2118, 3.2516, 5.1566, 5.3539
2119, 3.5850, 5.1566, 5.5804
2120, 3.4594, 5.0379, 5.4965
2121, 3.4594, 4.9691, 5.4384
2122, 3.4183, 5.1899, 5.3096
2123, 3.2776, 5.1358, 5.3755
2124, 3.2516, 5.1773, 5.5108
2125, 3.2516, 5.0981, 5.5648
2126, 3.2776, 5.1675, 5.4658
2127, 3.4594, 5.0647, 5.4607
2128, 3.0000, 5.3106, 5.3526
2129, 3.1699, 4.9855, 5.5080
2130, 3.2776, 4.9838, 5.4529
2131, 3.1699, 5.2440, 5.4634
2132, 2.9219, 5.2899, 5.3799
2133, 3.4594, 5.1647, 5.5185
2134, 3.5850, 5.1297, 5.4763
2135, 3.2776, 5.1106, 5.4735
2136, 3.2516, 5.1899, 5.3664
2137, 3.2516, 5.0817, 5.4851
2138, 2.9477, 5.1647, 5.4350
2139, 3.1699, 4.9773, 5.4195
2140, 3.4594, 4.9773, 5.3738
2141, 3.3219, 5.2232, 5.3690
2142, 3.3219, 5.1899, 5.4374
2143, 3.1699, 5.2358, 5.3252
2144, 3.4594, 5.1773, 5.3782
2145, 3.0000, 5.1773, 5.3782
2146, 3.0000, 4.9505, 5.3627
2147, 3.2776, 5.0566, 5.4411
2148, 3.1699, 5.2440, 5.4607
2149, 3.0000, 5.1566, 5.4942
2150, 3.2516, 5.0899, 5.3715
2151, 3.3219, 5.1358, 5.5469
2152, 3.3219, 5.0899, 5.3769
2153, 3.4183, 5.1276, 5.4979
2154, 3.0000, 5.2232, 5.4773
2155, 3.1219, 5.3025, 5.5124
2156, 2.7255, 5.1647, 5.4506
2157, 3.0000, 4.9358, 5.5341
2158, 3.3219, 5.0855, 5.4617
2159, 3.1699, 5.3025, 5.3242
2160, 3.5850, 5.1358, 5.4401
2161, 3.1219, 4.9964, 5.4891
2162, 3.1699, 5.1566, 5.4942
2163, 3.4594, 5.1882, 5.3614
2164, 2.7500, 5.1899, 5.5341
2165, 3.4594, 5.0440, 5.4891
2166, 3.1219, 4.9090, 5.5341
2167, 2.7500, 4.9232, 5.3265
2168, 3.4183, 5.1314, 5.4205
2169, 3.1219, 5.1440, 5.4851
2170, 2.5033, 5.3151, 5.4942
2171, 3.0000, 5.1358, 5.3843
2172, 3.5850, 5.2276, 5.5236
2173, 3.5850, 5.1314, 5.4167
2174, 3.0000, 5.0566, 5.4077
2175, 2.9477, 5.1566, 5.3498
2176, 2.9477, 5.2610, 5.4361
2177, 3.4183, 5.2691, 5.5364
2178, 3.4594, 5.2025, 5.4746
2179, 2.7255, 4.9614, 5.5469
2180, 3.1219, 5.1106, 5.4029
2181, 3.1699, 5.0216, 5.4026
2182, 3.4594, 5.1025, 5.4931
2183, 3.0000, 5.2566, 5.5432
2184, 3.4594, 4.9981, 5.3214
2185, 2.9140, 5.0899, 5.4891
2186, 3.3219, 4.9750, 5.5638
2187, 3.3219, 5.1106, 5.4283
2188, 2.9219, 5.1817, 5.3793
2189, 3.5850, 5.1899, 5.5030
2190, 3.4594, 5.1691, 5.3921
2191, 3.3219, 4.9566, 5.3961
2192, 3.4594, 5.1106, 5.4668
2193, 3.5850, 4.9773, 5.5331
2194, 3.2776, 5.1817, 5.4296
2195, 3.2776, 5.2566, 5.4090
2196, 3.1219, 5.1106, 5.4184
2197, 3.2776, 5.4025, 5.5341
2198, 3.4183, 5.1106, 5.4634
2199, 3.1699, 5.1773, 5.4617
2200, 3.1699, 5.3358, 5.4567
2201, 3.0000, 5.0188, 5.4154
2202, 3.4594, 5.1566, 5.4929
2203, 3.3219, 5.1358, 5.5108
2204, 3.3219, 5.0232, 5.3847
2205, 3.3219, 5.1899, 5.4607
2206, 3.1699, 5.1773, 5.3999
2207, 3.3219, 5.0106, 5.5469
2208, 2.7255, 5.0232, 5.6088
2209, 3.2776, 5.2151, 5.4823
2210, 3.4183, 5.0647, 5.4361
2211, 3.1219, 5.2358, 5.4567
2212, 3.4594, 5.2232, 5.3742
2213, 3.4183, 5.1691, 5.4438
2214, 3.2776, 5.0855, 5.4235
2215, 3.5850, 4.9106, 5.3870
2216, 3.1699, 5.0899, 5.4813
2217, 3.2516, 4.9566, 5.3745
2218, 3.0000, 5.2566, 5.5108
2219, 3.2776, 5.1522, 5.3664
2220, 3.0000, 4.9314, 5.3704
2221, 3.4183, 5.1232, 5.4851
2222, 3.4183, 5.1232, 5.4901
2223, 3.2776, 5.1484, 5.4182
2224, 3.4594, 5.1484, 5.5665
2225, 3.1699, 5.2106, 5.5185
2226, 2.6416, 5.0505, 5.4539
2227, 3.4594, 5.3358, 5.4361
2228, 3.0000, 5.1899, 5.3096
2229, 3.0272, 5.2899, 5.5030
2230, 3.1219, 4.9899, 5.5236
2231, 3.4594, 5.0106, 5.3911
2232, 3.1699, 5.0773, 5.3870
2233, 3.0000, 5.0440, 5.5185
2234, 2.7500, 5.2358, 5.4378
2235, 3.0272, 5.2232, 5.4466
2236, 2.7500, 5.1899, 5.3732
2237, 3.0000, 5.1899, 5.3715
2238, 3.2776, 4.9106, 5.3448
2239, 3.5850, 5.2025, 5.3887
2240, 3.0000, 5.0151, 5.3715
2241, 3.4594, 5.1817, 5.4039
2242, 3.0000, 4.9647, 5.3664
2243, 3.3219, 5.1151, 5.4556
2244, 3.3219, 4.9314, 5.3843
2245, 3.5850, 5.1691, 5.4567
2246, 3.4594, 5.1484, 5.4891
2247, 3.0958, 5.2484, 5.5432
2248, 2.7500, 5.2232, 5.5263
2249, 2.6416, 5.1232, 5.3603
2250, 3.1699, 5.0090, 5.4594
2251, 3.0000, 5.2025, 5.4556
2252, 3.4594, 5.1358, 5.5570
2253, 3.1699, 5.0647, 5.4323
2254, 3.4183, 5.0232, 5.3380
2255, 2.7500, 5.2025, 5.4556
2256, 2.9477, 5.1566, 5.4918
2257, 2.4056, 5.2025, 5.4901
2258, 3.3219, 5.2232, 5.3948
2259, 3.0000, 4.9981, 5.4597
2260, 3.5850, 5.0106, 5.5108
2261, 3.5850, 5.1691, 5.5057
2262, 3.4183, 5.0025, 5.5960
2263, 3.5850, 5.2106, 5.2917
2264, 3.1699, 5.1025, 5.5108
2265, 3.3219, 5.1232, 5.3921
2266, 3.3219, 5.1106, 5.3654
2267, 3.4183, 4.9522, 5.4952
2268, 3.4183, 5.0981, 5.4539
2269, 3.1699, 5.1817, 5.4411
2270, 3.1219, 5.1232, 5.4066
2271, 2.9477, 5.1631, 5.2646
2272, 2.9477, 5.0522, 5.3727
2273, 3.2776, 5.1899, 5.4617
2274, 2.7255, 5.2151, 5.5922
2275, 2.9477, 5.1691, 5.4411
2276, 3.1219, 5.2566, 5.5080
2277, 2.9477, 4.9631, 5.5314
2278, 3.4594, 5.2647, 5.4411
2279, 2.7500, 5.1566, 5.4746
2280, 3.4183, 5.0566, 5.4979
2281, 3.2776, 4.9358, 5.4154
2282, 3.2776, 4.9440, 5.3921
2283, 3.3219, 5.1899, 5.5858
2284, 2.7500, 4.9522, 5.5175
2285, 3.4183, 4.9899, 5.2930
2286, 3.3219, 5.1440, 5.3999
2287, 3.3219, 5.0566, 5.4773
2288, 3.2776, 4.9691, 5.4361
2289, 3.3219, 5.1943, 5.4695
2290, 3.1699, 5.2440, 5.4154
2291, 2.9219, 5.2566, 5.3911
2292, 2.7500, 5.1773, 5.4117
2293, 3.3219, 5.0566, 5.2703
2294, 3.4594, 5.1647, 5.4245
2295, 3.3219, 5.0008, 5.3174
2296, 3.2776, 5.2358, 5.3471
2297, 3.2776, 5.1440, 5.4144
2298, 3.1699, 5.0188, 5.4813
2299, 2.9219, 5.1423, 5.5520
2300, 3.3219, 5.1090, 5.5547
2301, 3.4594, 5.0106, 5.4411
2302, 3.3219, 5.1882, 5.4154
2303, 3.2776, 5.0046, 5.4539
2304, 3.0000, 5.2691, 5.4722
2305, 3.1699, 4.9253, 5.3769
2306, 3.0000, 5.2358, 5.4695
2307, 3.0000, 5.2025, 5.5236
2308, 2.9219, 5.2440, 5.4851
2309, 3.1699, 5.1773, 5.4411
2310, 2.9477, 5.0566, 5.3498
2311, 3.0000, 5.1566, 5.5108
2312, 3.1699, 5.0423, 5.5097
2313, 3.1219, 5.1232, 5.5547
2314, 3.0000, 4.9484, 5.5703
2315, 3.3219, 5.1025, 5.3727
2316, 3.3219, 5.0647, 5.3563
2317, 3.0000, 5.1440, 5.3485
2318, 3.1699, 5.1440, 5.5002
2319, 3.4594, 5.2484, 5.2711
2320, 3.1699, 5.1773, 5.5097
2321, 2.7500, 5.1899, 5.3458
2322, 3.1699, 5.1484, 5.3046
2323, 3.1699, 5.0981, 5.6473
2324, 3.4594, 4.8614, 5.3654
2325, 3.0000, 5.0232, 5.4567
2326, 3.2776, 5.0566, 5.4323
2327, 3.3219, 5.0981, 5.4823
2328, 3.4183, 5.2440, 5.3383
2329, 2.7500, 5.0981, 5.4851
2330, 3.4183, 5.1025, 5.4722
2331, 3.1219, 4.8981, 5.4154
2332, 3.0000, 4.9773, 5.2417
2333, 3.4594, 5.1691, 5.5341
2334, 3.0000, 5.0566, 5.4773
2335, 3.5850, 5.2691, 5.4283
2336, 3.0221, 5.0484, 5.4016
2337, 2.7500, 5.2106, 5.4851
2338, 3.0000, 5.1106, 5.4411
2339, 3.3219, 5.2358, 5.4127
2340, 3.1699, 4.9172, 5.4979
2341, 3.1219, 5.1232, 5.4039
2342, 3.4594, 5.1440, 5.3433
2343, 3.4183, 5.1025, 5.4813
2344, 3.0000, 4.8631, 5.4567
2345, 2.9477, 5.2232, 5.4763
2346, 3.4183, 4.9981, 5.5882
2347, 3.4183, 5.1025, 5.4823
2348, 3.4594, 5.2025, 5.3694
2349, 2.9477, 5.1314, 5.4607
2350, 3.0000, 5.1440, 5.5175
2351, 3.1699, 5.0172, 5.6422
2352, 2.7500, 5.0981, 5.4658
2353, 3.1699, 5.0899, 5.4942
2354, 3.4594, 5.1691, 5.5124
2355, 2.7500, 4.8691, 5.4171
2356, 3.2776, 5.0423, 5.5057
2357, 3.2776, 5.0358, 5.4154
2358, 3.0958, 5.2090, 5.4077
2359, 3.4594, 4.9232, 5.5293
2360, 3.1699, 5.1358, 5.6321
2361, 3.1699, 5.1232, 5.5638
2362, 3.0000, 5.1566, 5.3267
2363, 3.1699, 5.0090, 5.4529
2364, 3.3219, 5.1025, 5.5286
2365, 3.0000, 5.2484, 5.5263
2366, 3.2776, 5.2358, 5.5185
2367, 2.9477, 5.1423, 5.4823
2368, 3.1699, 5.1106, 5.5148
2369, 3.3219, 4.8396, 5.4361
2370, 3.1699, 5.0232, 5.4529
2371, 3.0000, 5.1899, 5.4695
2372, 3.5850, 4.8505, 5.5293
2373, 3.4594, 5.1358, 5.4094
2374, 2.9477, 5.0232, 5.4313
2375, 3.4594, 5.0899, 5.3536
2376, 3.1699, 5.1899, 5.6010
2377, 3.0000, 5.0899, 5.3833
2378, 3.1699, 4.9297, 5.6294
2379, 3.2776, 5.1106, 5.3938
2380, 3.2516, 5.1106, 5.3242
2381, 2.7500, 5.0566, 5.4746
2382, 3.4594, 5.0151, 5.3536
2383, 3.1699, 5.1484, 5.4262
2384, 3.1699, 5.2025, 5.3654
2385, 3.4594, 5.1358, 5.4117
2386, 3.3219, 5.1090, 5.5060
2387, 3.4183, 5.1341, 5.2937
2388, 3.5850, 5.0899, 5.3627
2389, 3.0000, 5.0549, 5.5185
2390, 3.3219, 5.1981, 5.4864
2391, 3.5850, 4.9172, 5.5341
2392, 2.7500, 5.1440, 5.4803
2393, 3.2776, 5.2358, 5.4695
2394, 2.9477, 4.9773, 5.4929
2395, 3.0000, 5.4025, 5.5392
2396, 3.1699, 5.1899, 5.3332
2397, 3.1699, 5.1773, 5.4232
2398, 3.1699, 5.1358, 5.5135
2399, 3.1219, 5.1691, 5.4685
2400, 3.2776, 5.0440, 5.4796
2401, 3.4594, 5.1232, 5.5135
2402, 2.9477, 5.1566, 5.5253
2403, 3.3219, 5.2817, 5.4489
2404, 3.4594, 4.9647, 5.3911
2405, 3.0000, 5.0773, 5.5354
2406, 3.3219, 5.0773, 5.5753
2407, 3.3219, 5.0773, 5.3793
2408, 3.4594, 5.1358, 5.5882
2409, 3.3219, 5.0566, 5.4333
2410, 3.3219, 5.1440, 5.5175
2411, 3.4183, 5.1025, 5.3961
2412, 2.7500, 5.0610, 5.4607
2413, 3.1219, 5.0358, 5.3431
2414, 3.0000, 5.0647, 5.4127
2415, 3.5850, 5.0440, 5.4361
2416, 3.5850, 5.0188, 5.3732
2417, 3.1699, 5.1106, 5.4333
2418, 2.7500, 5.0216, 5.3164
2419, 3.2516, 5.0981, 5.4735
2420, 3.4183, 5.1025, 5.4104
2421, 3.0000, 5.1773, 5.5019
2422, 3.5850, 5.0691, 5.4901
2423, 2.9477, 5.2691, 5.5108
2424, 3.4183, 5.1314, 5.4695
2425, 3.1219, 5.0566, 5.3898
2426, 3.0221, 5.0522, 5.5314
2427, 3.1699, 5.1440, 5.4617
2428, 3.1699, 5.1025, 5.3099
2429, 3.5850, 5.1423, 5.5882
2430, 2.7500, 5.0647, 5.3420
2431, 3.2776, 4.9566, 5.5510
2432, 3.5850, 5.2216, 5.4479
2433, 3.5850, 4.9899, 5.3576
2434, 2.9219, 4.9981, 5.5135
2435, 3.0000, 5.1232, 5.5236
2436, 2.9477, 4.9232, 5.5158
2437, 3.2776, 4.9729, 5.4127
2438, 3.5850, 5.0899, 5.4672
2439, 3.0000, 5.0899, 5.4556
2440, 3.2776, 5.0025, 5.4022
2441, 2.5000, 5.1106, 5.5392
2442, 3.5850, 4.9773, 5.6138
2443, 3.0000, 5.3358, 5.5665
2444, 3.1699, 5.1817, 5.4645
2445, 3.1699, 5.0440, 5.4157
2446, 3.5850, 5.2276, 5.5019
2447, 2.9219, 5.0232, 5.2852
2448, 2.9219, 5.0232, 5.4066
2449, 3.4594, 5.0358, 5.3860
2450, 3.5850, 5.3025, 5.3715
2451, 3.1219, 5.0423, 5.4746
2452, 3.1699, 5.2232, 5.4350
2453, 3.4594, 5.1691, 5.5030
2454, 3.4594, 5.1106, 5.4594
2455, 3.5850, 5.1297, 5.4104
2456, 3.1699, 5.1314, 5.5030
2457, 3.0000, 5.1090, 5.5303
2458, 2.7500, 5.1232, 5.5587
2459, 3.1699, 4.9773, 5.3934
2460, 3.5850, 5.1440, 5.4813
2461, 3.1699, 5.0647, 5.4245
2462, 3.5850, 5.2025, 5.4735
2463, 2.9477, 5.1691, 5.4411
2464, 3.5850, 5.2484, 5.4154
2465, 3.1219, 5.0358, 5.5135
2466, 3.1219, 5.0981, 5.4952
2467, 3.3219, 5.0855, 5.4262
2468, 3.0000, 5.0981, 5.4323
2469, 3.2776, 5.0106, 5.5638
2470, 3.2776, 4.9106, 5.3370
2471, 2.9477, 5.1276, 5.5286
2472, 3.1699, 5.1314, 5.5303
2473, 3.1699, 5.1440, 5.4668
2474, 3.4183, 5.0188, 5.4695
2475, 2.9477, 4.9855, 5.4851
2476, 3.1699, 5.0817, 5.5019
2477, 3.4594, 5.2817, 5.4039
2478, 3.1699, 5.1232, 5.3948
2479, 3.3219, 5.0647, 5.3694
2480, 3.4594, 5.1899, 5.3833
2481, 3.1219, 4.8920, 5.3806
2482, 3.5850, 5.1232, 5.5057
2483, 3.1699, 5.1232, 5.3461
2484, 3.2776, 5.1566, 5.3586
2485, 3.0000, 5.1232, 5.5676
2486, 3.0000, 5.0106, 5.4617
2487, 2.7500, 5.2358, 5.4840
2488, 3.4594, 5.1358, 5.4685
2489, 3.2776, 4.8423, 5.4645
2490, 3.4183, 4.9505, 5.4451
2491, 3.1219, 5.1484, 5.4695
2492, 3.4183, 5.0899, 5.5135
2493, 3.0000, 4.9729, 5.3704
2494, 3.3219, 5.0188, 5.5598
2495, 3.0000, 5.1232, 5.3782
2496, 3.4594, 5.1773, 5.5831
2497, 3.0000, 5.1358, 5.4901
2498, 3.1699, 4.9172, 5.5019
2499, 3.2776, 5.1025, 5.5469
2500, 2.9477, 5.1566, 5.4685
2501, 3.3219, 5.0855, 5.5087
2502, 3.4594, 5.1358, 5.3765
2503, 3.3219, 5.0610, 5.4489
2504, 3.2516, 5.1691, 5.5341
2505, 3.1699, 5.0773, 5.5108
2506, 3.1887, 5.0675, 5.3772
2507, 3.2776, 5.2106, 5.4245
2508, 3.3219, 4.9647, 5.3782
2509, 3.2776, 5.1440, 5.4645
2510, 3.2776, 5.2232, 5.4451
2511, 3.0000, 5.1106, 5.5469
2512, 3.1219, 5.1440, 5.4773
2513, 2.9477, 5.0773, 5.4539
2514, 2.7500, 5.0631, 5.5019
2515, 3.4183, 5.0773, 5.3860
2516, 3.2776, 4.9757, 5.5213
2517, 2.9477, 4.9090, 5.4567
2518, 3.3219, 5.1025, 5.5263
2519, 3.2516, 5.1566, 5.5093
2520, 3.4183, 5.1566, 5.5263
2521, 3.5850, 5.0981, 5.4232
2522, 3.3219, 5.1106, 5.4735
2523, 3.4183, 5.1106, 5.5676
2524, 3.0000, 5.0172, 5.3765
2525, 3.5850, 4.8647, 5.3704
2526, 3.1699, 5.0062, 5.5303
2527, 3.3219, 5.2216, 5.5960
2528, 3.5850, 5.1025, 5.5303
2529, 3.0000, 5.2106, 5.5236
2530, 3.5850, 5.0232, 5.5209
2531, 3.1219, 5.0172, 5.4039
2532, 3.2776, 4.9773, 5.5381
2533, 3.1699, 4.9691, 5.4800
2534, 3.1699, 5.1566, 5.5185
